,Max Temp,Min Temp,Diesel Price,Agri Cont To GDP,Rainfall,Maize-Price(Target),Maize-MSP,Maize-Export-Quantity,Maize-Export-Price
Apr-04,32.97,21.79,22.74,17.16,55.2,96.0,505.0,108.2256,719.92
May-04,33.23,22.79,22.74,17.16,80.6,98.8,505.0,108.2256,719.92
Jun-04,32.23,23.79,22.74,17.16,171.1,96.5,505.0,108.2256,719.92
Jul-04,31.38,24.79,22.74,17.16,250.5,98.5,505.0,108.2256,719.92
Aug-04,30.85,25.79,22.74,17.16,254.0,101.6,505.0,108.2256,719.92
Sep-04,31.2,26.79,22.74,17.16,131.5,99.6,505.0,108.2256,719.92
Oct-04,29.18,27.79,22.74,17.16,95.0,95.4,505.0,108.2256,719.92
Nov-04,28.23,28.79,22.74,17.16,17.9,95.0,505.0,108.2256,719.92
Dec-04,25.54,29.79,22.74,17.16,2.8,100.1,505.0,108.2256,719.92
Jan-05,24.18,13.97,28.22,16.04,28.1,104.1,525.0,41.9947,316.0
Feb-05,25.74,14.97,28.22,16.04,41.8,106.5,525.0,41.9947,316.0
Mar-05,29.5,15.97,28.22,16.04,42.5,108.5,525.0,41.9947,316.0
Apr-05,32.37,16.97,28.22,16.04,37.7,111.1,525.0,41.9947,316.0
May-05,33.57,17.97,28.22,16.04,46.1,109.6,525.0,41.9947,316.0
Jun-05,33.88,18.97,28.22,16.04,143.2,110.6,525.0,41.9947,316.0
Jul-05,30.96,19.97,28.22,16.04,334.1,112.6,525.0,41.9947,316.0
Aug-05,31.45,20.97,28.22,16.04,190.1,111.2,525.0,41.9947,316.0
Sep-05,31.05,21.97,28.22,16.04,206.9,112.0,525.0,41.9947,316.0
Oct-05,29.78,22.97,28.22,16.04,99.3,111.4,525.0,41.9947,316.0
Nov-05,27.6,23.97,28.22,16.04,27.2,110.7,525.0,41.9947,316.0
Dec-05,25.11,24.97,28.22,16.04,11.2,115.4,525.0,41.9947,316.0
Jan-06,25.66,14.37,30.45,15.46,17.7,117.5,540.0,63.7411,498.86
Feb-06,29.33,15.37,30.45,15.46,11.9,118.2,540.0,63.7411,498.86
Mar-06,29.56,16.37,30.45,15.46,35.6,116.9,540.0,63.7411,498.86
Apr-06,32.59,17.37,30.45,15.46,32.7,115.9,540.0,63.7411,498.86
May-06,34.09,18.37,30.45,15.46,75.0,116.2,540.0,63.7411,498.86
Jun-06,32.65,19.37,30.45,15.46,141.8,118.2,540.0,63.7411,498.86
Jul-06,31.59,20.37,30.45,15.46,287.6,116.5,540.0,63.7411,498.86
Aug-06,30.76,21.37,30.45,15.46,281.3,118.8,540.0,63.7411,498.86
Sep-06,30.57,22.37,30.45,15.46,178.6,119.0,540.0,63.7411,498.86
Oct-06,30.46,23.37,30.45,15.46,51.8,117.6,540.0,63.7411,498.86
Nov-06,27.61,24.37,30.45,15.46,34.6,122.0,540.0,63.7411,498.86
Dec-06,25.27,25.37,30.45,15.46,13.1,126.5,540.0,63.7411,498.86
Jan-07,25.19,13.26,30.25,14.69,1.7000000000000002,130.6,540.0,272.7715,2443.44
Feb-07,26.28,14.26,30.25,14.69,36.7,133.3,540.0,272.7715,2443.44
Mar-07,29.33,15.26,30.25,14.69,35.2,135.3,540.0,272.7715,2443.44
Apr-07,33.57,16.26,30.25,14.69,30.6,134.9,540.0,272.7715,2443.44
May-07,34.05,17.26,30.25,14.69,46.8,131.9,540.0,272.7715,2443.44
Jun-07,32.63,18.26,30.25,14.69,192.5,131.6,540.0,272.7715,2443.44
Jul-07,31.29,19.26,30.25,14.69,286.2,131.9,540.0,272.7715,2443.44
Aug-07,31.06,20.26,30.25,14.69,257.4,130.4,540.0,272.7715,2443.44
Sep-07,30.64,21.26,30.25,14.69,206.8,126.9,540.0,272.7715,2443.44
Oct-07,30.49,22.26,30.25,14.69,55.7,127.3,540.0,272.7715,2443.44
Nov-07,28.41,23.26,30.25,14.69,14.4,126.9,540.0,272.7715,2443.44
Dec-07,25.19,24.26,30.25,14.69,15.3,125.9,540.0,272.7715,2443.44
Jan-08,23.97,13.02,31.76,14.29,18.4,130.0,620.0,353.7302,3374.99
Feb-08,25.48,14.02,31.76,14.29,19.3,131.1,620.0,353.7302,3374.99
Mar-08,30.34,15.02,31.76,14.29,41.2,134.0,620.0,353.7302,3374.99
Apr-08,32.13,16.02,31.76,14.29,29.5,134.5,620.0,353.7302,3374.99
May-08,33.86,17.02,31.76,14.29,43.7,134.7,620.0,353.7302,3374.99
Jun-08,32.15,18.02,31.76,14.29,202.0,137.7,620.0,353.7302,3374.99
Jul-08,31.24,19.02,31.76,14.29,245.0,137.4,620.0,353.7302,3374.99
Aug-08,30.69,20.02,31.76,14.29,265.8,138.2,620.0,353.7302,3374.99
Sep-08,30.92,21.02,31.76,14.29,165.1,136.9,620.0,353.7302,3374.99
Oct-08,30.81,22.02,31.76,14.29,51.6,138.2,620.0,353.7302,3374.99
Nov-08,28.15,23.02,31.76,14.29,25.5,140.5,620.0,353.7302,3374.99
Dec-08,25.99,24.02,31.76,14.29,11.0,138.8,620.0,353.7302,3374.99
Jan-09,25.27,14.35,30.86,13.36,12.0,142.4,840.0,263.2874,2553.77
Feb-09,27.75,15.35,30.86,13.36,12.0,144.6,840.0,263.2874,2553.77
Mar-09,30.57,16.35,30.86,13.36,14.2,145.3,840.0,263.2874,2553.77
Apr-09,33.09,17.35,30.86,13.36,5.1,148.6,840.0,263.2874,2553.77
May-09,34.09,18.35,30.86,13.36,56.0,150.1,840.0,263.2874,2553.77
Jun-09,33.73,19.35,30.86,13.36,85.7,151.8,840.0,263.2874,2553.77
Jul-09,31.77,20.35,30.86,13.36,280.7,153.0,840.0,263.2874,2553.77
Aug-09,31.84,21.35,30.86,13.36,192.5,156.2,840.0,263.2874,2553.77
Sep-09,31.6,22.35,30.86,13.36,139.4,155.6,840.0,263.2874,2553.77
Oct-09,30.75,23.35,30.86,13.36,71.4,154.5,840.0,263.2874,2553.77
Nov-09,27.59,24.35,30.86,13.36,53.7,155.3,840.0,263.2874,2553.77
Dec-09,25.53,25.35,30.86,13.36,11.1,154.3,840.0,263.2874,2553.77
Jan-10,24.89,13.59,38.1,12.35,7.5,154.1,840.0,301.0423,3359.4
Feb-10,27.03,14.59,38.1,12.35,17.0,153.5,840.0,301.0423,3359.4
Mar-10,31.94,15.59,38.1,12.35,14.0,153.1,840.0,301.0423,3359.4
Apr-10,34.07,16.59,38.1,12.35,39.0,153.1,840.0,301.0423,3359.4
May-10,34.43,17.59,38.1,12.35,73.8,152.8,840.0,301.0423,3359.4
Jun-10,33.22,18.59,38.1,12.35,138.1,157.8,840.0,301.0423,3359.4
Jul-10,31.424,19.59,38.1,12.35,300.7,166.2,840.0,301.0423,3359.4
Aug-10,30.77,20.59,38.1,12.35,274.7,169.4,840.0,301.0423,3359.4
Sep-10,30.65,21.59,38.1,12.35,197.7,168.1,840.0,301.0423,3359.4
Oct-10,30.47,22.59,38.1,12.35,69.0,167.2,840.0,301.0423,3359.4
Nov-10,28.01,23.59,38.1,12.35,61.4,171.1,840.0,301.0423,3359.4
Dec-10,24.88,24.59,38.1,12.35,22.7,171.9,840.0,301.0423,3359.4
Jan-11,24.18,12.59,37.75,12.42,6.8,174.7,880.0,385.5721,5157.51
Feb-11,26.47,13.59,37.75,12.42,25.8,183.1,880.0,385.5721,5157.51
Mar-11,30.17,14.59,37.75,12.42,22.4,191.9,880.0,385.5721,5157.51
Apr-11,31.7,15.59,37.75,12.42,41.1,202.8,880.0,385.5721,5157.51
May-11,34.33,16.59,37.75,12.42,53.1,208.6,880.0,385.5721,5157.51
Jun-11,33.02,17.59,37.75,12.42,183.5,207.2,880.0,385.5721,5157.51
Jul-11,31.41,18.59,37.75,12.42,246.0,205.7,880.0,385.5721,5157.51
Aug-11,30.92,19.59,37.75,12.42,284.9,209.3,880.0,385.5721,5157.51
Sep-11,30.81,20.59,37.75,12.42,186.9,201.1,880.0,385.5721,5157.51
Oct-11,30.85,21.59,37.75,12.42,38.1,194.1,880.0,385.5721,5157.51
Nov-11,28.31,22.59,37.75,12.42,20.1,194.1,880.0,385.5721,5157.51
Dec-11,25.6,23.59,37.75,12.42,7.6,200.4,880.0,385.5721,5157.51
Jan-12,23.61,12.91,40.91,12.26,26.5,210.1,980.0,478.8328,7096.34
Feb-12,26.44,13.91,40.91,12.26,12.7,213.8,980.0,478.8328,7096.34
Mar-12,30.2,14.91,40.91,12.26,11.3,220.4,980.0,478.8328,7096.34
Apr-12,32.46,15.91,40.91,12.26,47.5,225.4,980.0,478.8328,7096.34
May-12,34.3,16.91,40.91,12.26,31.7,220.5,980.0,478.8328,7096.34
Jun-12,33.6,17.91,40.91,12.26,117.8,219.2,980.0,478.8328,7096.34
Jul-12,31.88,18.91,40.91,12.26,250.2,221.6,980.0,478.8328,7096.34
Aug-12,30.96,19.91,40.91,12.26,262.4,229.5,980.0,478.8328,7096.34
Sep-12,30.65,20.91,40.91,12.26,193.5,234.1,980.0,478.8328,7096.34
Oct-12,30.2,21.91,40.91,12.26,58.7,232.2,980.0,478.8328,7096.34
Nov-12,28.11,22.91,40.91,12.26,30.7,233.9,980.0,478.8328,7096.34
Dec-12,25.34,23.91,40.91,12.26,11.7,243.2,980.0,478.8328,7096.34
Jun-13,32.44,18.22,48.63,11.85,219.8,254.5,1175.0,395.4236,5983.66
Jul-13,31.07,19.22,48.63,11.85,310.0,254.9,1175.0,395.4236,5983.66
Aug-13,30.76,20.22,48.63,11.85,254.7,255.3,1175.0,395.4236,5983.66
Sep-13,31.04,21.22,48.63,11.85,152.7,260.4,1175.0,395.4236,5983.66
