,Max Temp,Min Temp,Diesel-Price(in Rs),Agri contri in GDP(%),Rainfall,Jowar-Price(Target),Jowar-MSP
Apr-04,32.97,21.79,22.74,17.16,55.2,93.4,505.0
May-04,33.23,22.79,22.74,17.16,80.6,99.1,505.0
Jun-04,32.23,23.79,22.74,17.16,171.1,98.6,505.0
Jul-04,31.38,24.79,22.74,17.16,250.5,99.9,505.0
Aug-04,30.85,25.79,22.74,17.16,254.0,104.6,505.0
Sep-04,31.2,26.79,22.74,17.16,131.5,98.6,505.0
Oct-04,29.18,27.79,22.74,17.16,95.0,99.0,505.0
Nov-04,28.23,28.79,22.74,17.16,17.9,100.4,505.0
Dec-04,25.54,29.79,22.74,17.16,2.8,103.4,505.0
Jan-05,24.18,13.97,28.22,16.04,28.1,102.0,515.0
Feb-05,25.74,14.97,28.22,16.04,41.8,101.0,515.0
Mar-05,29.5,15.97,28.22,16.04,42.5,100.3,515.0
Apr-05,32.37,16.97,28.22,16.04,37.7,99.5,515.0
May-05,33.57,17.97,28.22,16.04,46.1,106.0,515.0
Jun-05,33.88,18.97,28.22,16.04,143.2,112.7,515.0
Jul-05,30.96,19.97,28.22,16.04,334.1,115.6,515.0
Aug-05,31.45,20.97,28.22,16.04,190.1,109.8,515.0
Sep-05,31.05,21.97,28.22,16.04,206.9,105.8,515.0
Oct-05,29.78,22.97,28.22,16.04,99.3,108.0,515.0
Nov-05,27.6,23.97,28.22,16.04,27.2,105.4,515.0
Dec-05,25.11,24.97,28.22,16.04,11.2,106.6,515.0
Jan-06,25.66,14.37,30.45,15.46,17.7,113.7,525.0
Feb-06,29.33,15.37,30.45,15.46,11.9,115.6,525.0
Mar-06,29.56,16.37,30.45,15.46,35.6,115.7,525.0
Apr-06,32.59,17.37,30.45,15.46,32.7,120.5,525.0
May-06,34.09,18.37,30.45,15.46,75.0,126.5,525.0
Jun-06,32.65,19.37,30.45,15.46,141.8,130.1,525.0
Jul-06,31.59,20.37,30.45,15.46,287.6,126.6,525.0
Aug-06,30.76,21.37,30.45,15.46,281.3,115.0,525.0
Sep-06,30.57,22.37,30.45,15.46,178.6,118.8,525.0
Oct-06,30.46,23.37,30.45,15.46,51.8,119.8,525.0
Nov-06,27.61,24.37,30.45,15.46,34.6,121.5,525.0
Dec-06,25.27,25.37,30.45,15.46,13.1,126.1,525.0
Jan-07,25.19,13.26,30.25,14.69,1.7000000000000002,129.1,540.0
Feb-07,26.28,14.26,30.25,14.69,36.7,130.9,540.0
Mar-07,29.33,15.26,30.25,14.69,35.2,130.6,540.0
Apr-07,33.57,16.26,30.25,14.69,30.6,131.9,540.0
May-07,34.05,17.26,30.25,14.69,46.8,142.6,540.0
Jun-07,32.63,18.26,30.25,14.69,192.5,151.8,540.0
Jul-07,31.29,19.26,30.25,14.69,286.2,149.5,540.0
Aug-07,31.06,20.26,30.25,14.69,257.4,148.8,540.0
Sep-07,30.64,21.26,30.25,14.69,206.8,147.8,540.0
Oct-07,30.49,22.26,30.25,14.69,55.7,149.1,540.0
Nov-07,28.41,23.26,30.25,14.69,14.4,149.6,540.0
Dec-07,25.19,24.26,30.25,14.69,15.3,152.3,540.0
Jan-08,23.97,13.02,31.76,14.29,18.4,151.0,600.0
Feb-08,25.48,14.02,31.76,14.29,19.3,150.3,600.0
Mar-08,30.34,15.02,31.76,14.29,41.2,151.2,600.0
Apr-08,32.13,16.02,31.76,14.29,29.5,153.4,600.0
May-08,33.86,17.02,31.76,14.29,43.7,154.7,600.0
Jun-08,32.15,18.02,31.76,14.29,202.0,154.6,600.0
Jul-08,31.24,19.02,31.76,14.29,245.0,151.3,600.0
Aug-08,30.69,20.02,31.76,14.29,265.8,152.4,600.0
Sep-08,30.92,21.02,31.76,14.29,165.1,151.8,600.0
Oct-08,30.81,22.02,31.76,14.29,51.6,151.1,600.0
Nov-08,28.15,23.02,31.76,14.29,25.5,147.8,600.0
Dec-08,25.99,24.02,31.76,14.29,11.0,147.3,600.0
Jan-09,25.27,14.35,30.86,13.36,12.0,148.1,840.0
Feb-09,27.75,15.35,30.86,13.36,12.0,155.1,840.0
Mar-09,30.57,16.35,30.86,13.36,14.2,146.7,840.0
Apr-09,33.09,17.35,30.86,13.36,5.1,151.9,840.0
May-09,34.09,18.35,30.86,13.36,56.0,160.8,840.0
Jun-09,33.73,19.35,30.86,13.36,85.7,165.6,840.0
Jul-09,31.77,20.35,30.86,13.36,280.7,168.9,840.0
Aug-09,31.84,21.35,30.86,13.36,192.5,172.9,840.0
Sep-09,31.6,22.35,30.86,13.36,139.4,169.4,840.0
Oct-09,30.75,23.35,30.86,13.36,71.4,168.5,840.0
Nov-09,27.59,24.35,30.86,13.36,53.7,167.7,840.0
Dec-09,25.53,25.35,30.86,13.36,11.1,172.3,840.0
Jan-10,24.89,13.59,38.1,12.35,7.5,173.6,840.0
Feb-10,27.03,14.59,38.1,12.35,17.0,176.8,840.0
Mar-10,31.94,15.59,38.1,12.35,14.0,174.8,840.0
Apr-10,34.07,16.59,38.1,12.35,39.0,172.3,840.0
May-10,34.43,17.59,38.1,12.35,73.8,177.1,840.0
Jun-10,33.22,18.59,38.1,12.35,138.1,183.5,840.0
Jul-10,31.424,19.59,38.1,12.35,300.7,183.2,840.0
Aug-10,30.77,20.59,38.1,12.35,274.7,186.7,840.0
Sep-10,30.65,21.59,38.1,12.35,197.7,184.8,840.0
Oct-10,30.47,22.59,38.1,12.35,69.0,187.3,840.0
Nov-10,28.01,23.59,38.1,12.35,61.4,187.4,840.0
Dec-10,24.88,24.59,38.1,12.35,22.7,192.1,840.0
Jan-11,24.18,12.59,37.75,12.42,6.8,200.9,880.0
Feb-11,26.47,13.59,37.75,12.42,25.8,213.0,880.0
Mar-11,30.17,14.59,37.75,12.42,22.4,206.2,880.0
Apr-11,31.7,15.59,37.75,12.42,41.1,218.5,880.0
May-11,34.33,16.59,37.75,12.42,53.1,237.4,880.0
Jun-11,33.02,17.59,37.75,12.42,183.5,256.8,880.0
Jul-11,31.41,18.59,37.75,12.42,246.0,261.3,880.0
Aug-11,30.92,19.59,37.75,12.42,284.9,261.7,880.0
Sep-11,30.81,20.59,37.75,12.42,186.9,256.9,880.0
Oct-11,30.85,21.59,37.75,12.42,38.1,248.7,880.0
Nov-11,28.31,22.59,37.75,12.42,20.1,246.1,880.0
Dec-11,25.6,23.59,37.75,12.42,7.6,247.9,880.0
Jan-12,23.61,12.91,40.91,12.26,26.5,259.4,980.0
Feb-12,26.44,13.91,40.91,12.26,12.7,250.8,980.0
Mar-12,30.2,14.91,40.91,12.26,11.3,237.1,980.0
Apr-12,32.46,15.91,40.91,12.26,47.5,236.8,980.0
May-12,34.3,16.91,40.91,12.26,31.7,240.8,980.0
Jun-12,33.6,17.91,40.91,12.26,117.8,235.3,980.0
Jul-12,31.88,18.91,40.91,12.26,250.2,230.8,980.0
Aug-12,30.96,19.91,40.91,12.26,262.4,236.5,980.0
Sep-12,30.65,20.91,40.91,12.26,193.5,234.9,980.0
Oct-12,30.2,21.91,40.91,12.26,58.7,234.6,980.0
Nov-12,28.11,22.91,40.91,12.26,30.7,225.8,980.0
Dec-12,25.34,23.91,40.91,12.26,11.7,232.3,980.0
Jun-13,32.44,18.22,48.63,11.85,219.8,246.9,1500.0
Jul-13,31.07,19.22,48.63,11.85,310.0,245.7,1500.0
Aug-13,30.76,20.22,48.63,11.85,254.7,241.2,1500.0
Sep-13,31.04,21.22,48.63,11.85,152.7,241.6,1500.0
